source_name,url,workflow,access_status,standing_authorized,credential_storage,secret_alias,next_action,guardrails,notes
Tender Tiger,https://www.tendertiger.com,GOV,PAID_OR_PAYWALLED_REVIEW_REQUIRED,PARTIAL_NO_PAYMENT,macOS Keychain / approved secret store; no plaintext,tender-export-os/tender-tiger/research,Do not buy credits/subscription yet; research free trial/account path and request payment approval only if needed.,"No paid plan/payment, bid submit, upload, DSC, buyer quote, PO, final price, HSN/ITC-HS, or origin claim without separate approval.",Skipped by radar policy: paywalled/login-required source. Radar batch 20260630131554: created_cases=0.
Indian Trade Portal,https://www.indiantradeportal.in,EXPORT,BROWSER_SESSION_OR_MANUAL_CHECK_NEEDED,TRUE,macOS Keychain / approved secret store; no plaintext,tender-export-os/indian-trade-portal/research,Attempt compliant browser session with cookies/JS; pause on CAPTCHA/OTP.,"No paid plan/payment, bid submit, upload, DSC, buyer quote, PO, final price, HSN/ITC-HS, or origin claim without separate approval.",2026-06-30 export batch scan: Public fetch returned HTTP 403; no RFQ created.
Alibaba RFQ,https://rfq.alibaba.com,EXPORT,NEEDS_ACCOUNT_OR_LOGIN,TRUE,macOS Keychain / approved secret store; no plaintext,tender-export-os/alibaba-rfq/research,Create/login to free research account if required; store only secret alias.,"No paid plan/payment, bid submit, upload, DSC, buyer quote, PO, final price, HSN/ITC-HS, or origin claim without separate approval.","2026-06-30 export batch scan: Configured login/manual source; public landing page only, no buyer details extracted."
FIEO Connect,https://connect.fieo.org,EXPORT,NEEDS_ACCOUNT_OR_LOGIN,TRUE,macOS Keychain / approved secret store; no plaintext,tender-export-os/fieo-connect/research,Create/login to free research account if required; store only secret alias.,"No paid plan/payment, bid submit, upload, DSC, buyer quote, PO, final price, HSN/ITC-HS, or origin claim without separate approval.",2026-06-30 export batch scan: Configured manual/login source; DNS resolution also failed during landing-page probe.
APEDA AgriXchange,https://agriexchange.apeda.gov.in,EXPORT,NEEDS_ACCOUNT_OR_LOGIN,TRUE,macOS Keychain / approved secret store; no plaintext,tender-export-os/apeda-agrixchange/research,Create/login to free research account if required; store only secret alias.,"No paid plan/payment, bid submit, upload, DSC, buyer quote, PO, final price, HSN/ITC-HS, or origin claim without separate approval.","2026-06-30 export batch scan: Home page reachable, but /Buyer/BuyLeads redirected to exporter login; no public buyer lead extracted."
Global Sources,https://www.globalsources.com,EXPORT,BROWSER_SESSION_OR_MANUAL_CHECK_NEEDED,TRUE,macOS Keychain / approved secret store; no plaintext,tender-export-os/global-sources/research,Attempt compliant browser session with cookies/JS; pause on CAPTCHA/OTP.,"No paid plan/payment, bid submit, upload, DSC, buyer quote, PO, final price, HSN/ITC-HS, or origin claim without separate approval.",2026-06-30 export batch scan: Bot/cookie interstitial encountered; no buyer RFQ extracted.
EC21,https://www.ec21.com,EXPORT,BROWSER_SESSION_OR_MANUAL_CHECK_NEEDED,TRUE,macOS Keychain / approved secret store; no plaintext,tender-export-os/ec21/research,Attempt compliant browser session with cookies/JS; pause on CAPTCHA/OTP.,"No paid plan/payment, bid submit, upload, DSC, buyer quote, PO, final price, HSN/ITC-HS, or origin claim without separate approval.",2026-06-30 export batch scan: Public fetch returned HTTP 403; no RFQ created.
Made-in-China (Buying Leads),https://inquiry.made-in-china.com,EXPORT,NEEDS_ACCOUNT_OR_LOGIN,TRUE,macOS Keychain / approved secret store; no plaintext,tender-export-os/made-in-china-buying-leads/research,Create/login to free research account if required; store only secret alias.,"No paid plan/payment, bid submit, upload, DSC, buyer quote, PO, final price, HSN/ITC-HS, or origin claim without separate approval.",2026-06-30 export batch scan: Configured login/manual source; DNS resolution failed during landing-page probe.
UN Global Marketplace (UNGM),https://www.ungm.org,EXPORT,NEEDS_ACCOUNT_OR_LOGIN,TRUE,macOS Keychain / approved secret store; no plaintext,tender-export-os/un-global-marketplace-ungm/research,Create/login to free research account if required; store only secret alias.,"No paid plan/payment, bid submit, upload, DSC, buyer quote, PO, final price, HSN/ITC-HS, or origin claim without separate approval.",2026-06-30 export batch scan: Configured login/manual source; public probe returned HTTP 403.
African Development Bank Tenders,https://www.afdb.org/en/projects-and-operations/procurement,EXPORT,BROWSER_SESSION_OR_MANUAL_CHECK_NEEDED,TRUE,macOS Keychain / approved secret store; no plaintext,tender-export-os/african-development-bank-tenders/research,Attempt compliant browser session with cookies/JS; pause on CAPTCHA/OTP.,"No paid plan/payment, bid submit, upload, DSC, buyer quote, PO, final price, HSN/ITC-HS, or origin claim without separate approval.",2026-06-30 export batch scan: Public fetch returned HTTP 403; no RFQ created.
IREPS — Indian Railways,https://www.ireps.gov.in,GOV,MANUAL_BROWSER_FLOW_NEEDED,TRUE,macOS Keychain / approved secret store; no plaintext,tender-export-os/ireps-indian-railways/research,Use browser/portal workflow; pause on CAPTCHA/OTP or legal attestation.,"No paid plan/payment, bid submit, upload, DSC, buyer quote, PO, final price, HSN/ITC-HS, or origin claim without separate approval.",Home reachable; public tender search is JavaScript-routed/manual. No login/CAPTCHA bypass attempted. Radar batch 20260630131554: created_cases=0.
Tenders Info,https://www.tendersinfo.com,GOV,PAID_OR_PAYWALLED_REVIEW_REQUIRED,PARTIAL_NO_PAYMENT,macOS Keychain / approved secret store; no plaintext,tender-export-os/tenders-info/research,Do not buy credits/subscription yet; research free trial/account path and request payment approval only if needed.,"No paid plan/payment, bid submit, upload, DSC, buyer quote, PO, final price, HSN/ITC-HS, or origin claim without separate approval.",Skipped by radar policy: paywalled/login-required source. Radar batch 20260630131554: created_cases=0.
